Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,657124,-,-,-,29.41,-98.5,-6,201,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,GHI,DHI,DNI
2018,1,1,0,30,0,0,0
2018,1,1,1,30,0,0,0
2018,1,1,2,30,0,0,0
2018,1,1,3,30,0,0,0
2018,1,1,4,30,0,0,0
2018,1,1,5,30,0,0,0
2018,1,1,6,30,0,0,0
2018,1,1,7,30,2,2,0
2018,1,1,8,30,36,36,0
2018,1,1,9,30,84,82,6
2018,1,1,10,30,87,87,0
2018,1,1,11,30,213,204,15
2018,1,1,12,30,176,173,5
2018,1,1,13,30,95,95,0
2018,1,1,14,30,263,222,79
2018,1,1,15,30,187,149,97
2018,1,1,16,30,35,35,0
2018,1,1,17,30,5,5,0
2018,1,1,18,30,0,0,0
2018,1,1,19,30,0,0,0
2018,1,1,20,30,0,0,0
2018,1,1,21,30,0,0,0
2018,1,1,22,30,0,0,0
2018,1,1,23,30,0,0,0
2018,1,2,0,30,0,0,0
2018,1,2,1,30,0,0,0
2018,1,2,2,30,0,0,0
2018,1,2,3,30,0,0,0
2018,1,2,4,30,0,0,0
2018,1,2,5,30,0,0,0
2018,1,2,6,30,0,0,0
2018,1,2,7,30,6,6,42
2018,1,2,8,30,123,54,367
2018,1,2,9,30,122,120,5
2018,1,2,10,30,157,156,3
2018,1,2,11,30,216,207,15
